SUDT ACCESSPORT LOG FILE - Monitor mode

Monitor: COM23
Create Time: 2026-06-09, 15:53:53
Computer Name: Äüÿ
System version:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

107	15:53:34.503	0.00000220	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
108	15:53:34.505	0.00433370	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
109	15:53:34.593	0.00002430	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 468, Data: 4A 53 30 30 36 44 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 32 37 2C 22 54 22 3A 37 37 34 38 32 37 2C 22 44 22 3A 31 32 32 2C 22 50 22 3A 33 31 2C 22 58 63 	
110	15:53:34.593	0.00000200	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
111	15:53:34.593	0.00002540	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
112	15:53:34.594	0.03470470	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
113	15:53:34.666	0.00001420	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 117, Data: 4A 53 30 30 36 44 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 33 31 2C 22 54 22 3A 37 37 34 39 35 31 2C 22 44 22 3A 31 31 38 2C 22 50 22 3A 34 39 2C 22 58 63 	
114	15:53:34.666	0.10117210	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
115	15:53:34.666	0.00000130	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
116	15:53:34.791	0.00002150	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 236, Data: 4A 53 30 30 36 45 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 33 32 2C 22 54 22 3A 37 37 35 30 38 34 2C 22 44 22 3A 31 32 31 2C 22 50 22 3A 2D 33 31 2C 22 58 	
117	15:53:34.791	0.00003290	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
118	15:53:34.791	0.00000230	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
119	15:53:34.792	0.15472780	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
120	15:53:34.963	0.00001540	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 117, Data: 4A 53 30 30 36 44 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 33 34 2C 22 54 22 3A 37 37 35 32 36 37 2C 22 44 22 3A 31 32 39 2C 22 50 22 3A 2D 33 2C 22 58 63 	
121	15:53:34.963	0.03773690	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
122	15:53:34.963	0.00000210	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
123	15:53:35.039	0.00002350	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 235, Data: 4A 53 30 30 36 44 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 33 35 2C 22 54 22 3A 37 37 35 33 31 38 2C 22 44 22 3A 31 33 30 2C 22 50 22 3A 2D 34 2C 22 58 63 	
124	15:53:35.039	0.00000300	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
125	15:53:35.039	0.00000230	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
126	15:53:35.040	0.00896500	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
127	15:53:35.103	0.00003000	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 234, Data: 4A 53 30 30 36 43 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 33 37 2C 22 54 22 3A 37 37 35 33 36 38 2C 22 44 22 3A 31 33 31 2C 22 50 22 3A 35 2C 22 58 63 6D 	
